node_id,x_coord,y_coord
0,-109.737644,34.355858
1,-109.7869698,34.3412929
2,-109.787003,34.3431201
3,-109.7884891,34.3412585
4,-109.786218,34.3412815
5,-109.7782179,34.3413417
6,-109.8439838,34.345125
7,-109.788403,34.301335
8,-109.7883991,34.3014166
9,-109.7860822,34.2561989
10,-109.7857884,34.2578596
11,-109.7277667,34.2700626
12,-109.71528,34.278451
13,-109.7499777,34.272105
14,-109.7494802,34.2747706
15,-109.737858,34.251763
16,-109.736809,34.250847
17,-109.735679,34.25181
18,-109.8049838,34.2925765
19,-109.7548099,34.3249931
20,-109.7517687,34.3273542
21,-109.7545982,34.324797
22,-109.8099206,34.272382
23,-109.8154122,34.2731541
24,-109.82267,34.2855395
25,-109.788449,34.33761
26,-109.7884199,34.3394442
27,-109.795765,34.3376318
28,-109.7872068,34.3373469
29,-109.7870902,34.3369759
30,-109.7869863,34.3351558
31,-109.7870656,34.3304289
32,-109.7438702,34.340007
33,-109.791536,34.264126
34,-109.77811,34.223086
35,-109.768162,34.222761
36,-109.7683786,34.2741662
37,-109.7686529,34.27243
38,-109.7616509,34.2724052
39,-109.7616555,34.2731058
40,-109.7606541,34.3425137
41,-109.7383863,34.3225503
42,-109.7351333,34.3226415
43,-109.7277581,34.3228172
44,-109.7278408,34.3300331
45,-109.8209453,34.2411893
46,-109.8137542,34.2899737
47,-109.8137952,34.2831541
48,-109.74343,34.255487
49,-109.7413044,34.2571606
50,-109.803578,34.288736
51,-109.8380552,34.2273166
52,-109.8209747,34.235667
53,-109.760843,34.2865558
54,-109.7540912,34.2725728
55,-109.8477484,34.3123935
56,-109.7781978,34.3351807
57,-109.7935484,34.3303639
58,-109.7935738,34.3324091
59,-109.758531,34.294321
60,-109.757478,34.29443
61,-109.804826,34.295928
62,-109.804742,34.299547
63,-109.7125578,34.2572966
64,-109.7960736,34.2868753
65,-109.793868,34.2905353
66,-109.7894541,34.2931857
67,-109.803369,34.222236
68,-109.799812,34.223999
69,-109.836768,34.2287762
70,-109.759447,34.233647
71,-109.759482,34.233199
72,-109.7781406,34.3322661
73,-109.7798611,34.3322715
74,-109.750254,34.286433
75,-109.750268,34.287235
76,-109.7724471,34.2797237
77,-109.7616976,34.3522907
78,-109.7616966,34.3541057
79,-109.740064,34.251762
80,-109.739981,34.250043
81,-109.740606,34.249426
82,-109.721046,34.22916
83,-109.720256,34.232906
84,-109.749485,34.315465
85,-109.8313119,34.2869111
86,-109.7530066,34.300989
87,-109.7529626,34.3009892
88,-109.8397081,34.2802908
89,-109.720474,34.2573874
90,-109.7201956,34.2581519
91,-109.758393,34.288253
