node_id,x_coord,y_coord
193,-111.9397133,33.4109717
194,-111.9400502,33.4110461
195,-111.9350462,33.4161097
196,-111.9316695,33.4183576
197,-111.9271917,33.4166831
198,-111.9269771,33.4189112
199,-111.9353519,33.4255151
200,-111.9327444,33.4223604
201,-111.9327326,33.4217232
202,-111.9327062,33.4160819
203,-111.932723,33.4183408
204,-111.9327235,33.4202791
205,-111.9292601,33.4249516
206,-111.9292514,33.4248073
207,-111.9301429,33.4249465
208,-111.9404627,33.431309
209,-111.9356428,33.430435
210,-111.926289,33.4298413
211,-111.9382922,33.4149218
212,-111.9395884,33.4159654
213,-111.9377458,33.416025
214,-111.9338292,33.4183283
215,-111.9337083,33.4173613
216,-111.9332559,33.4151418
217,-111.9361419,33.4175155
218,-111.9379256,33.4180781
219,-111.9370852,33.4145236
220,-111.9396432,33.4145427
221,-111.9366569,33.4211618
222,-111.9301964,33.4213078
223,-111.930077,33.4184165
224,-111.9341559,33.4202697
225,-111.9366603,33.4183708
227,-111.935078,33.4202956
228,-111.9301467,33.4202935
229,-111.9437235,33.4203539
230,-111.9202907,33.4113526
231,-111.9089209,33.4110434
232,-111.9435715,33.4254464
233,-111.9435847,33.4295124
234,-111.9436185,33.4308119
235,-111.9262989,33.420183
236,-111.9212894,33.4188214
237,-111.9205552,33.4187226
238,-111.9439296,33.411019
239,-111.940029,33.4174558
240,-111.9090927,33.421982
241,-111.9287164,33.421014
244,-111.9147587,33.4148409
245,-111.917698,33.4148781
246,-111.9205452,33.4148706
247,-111.9262878,33.4148429
248,-111.9306499,33.4147876
249,-111.932805,33.4147645
250,-111.9349593,33.4147529
251,-111.9366081,33.4147406
252,-111.9349552,33.4146147
253,-111.9327942,33.4146458
254,-111.9306654,33.4146657
255,-111.9262925,33.4146937
256,-111.9204485,33.4147071
257,-111.9177001,33.4146384
258,-111.9171222,33.414605
259,-111.9142668,33.4146813
262,-111.9091139,33.4146994
263,-111.9123382,33.4147493
264,-111.9124745,33.4147475
265,-111.9176986,33.4148015
266,-111.9225356,33.416758
267,-111.922338,33.4167546
268,-111.923179,33.417529
269,-111.9203868,33.4148865
270,-111.9264083,33.4202801
271,-111.9283481,33.422014
272,-111.9262989,33.420098
273,-111.9312627,33.4233579
274,-111.9320888,33.4241868
275,-111.9347997,33.4254989
276,-111.930412,33.4231839
277,-111.9305248,33.4232046
278,-111.9305402,33.4231415
279,-111.9400695,33.4274911
280,-111.9435008,33.42952
281,-111.9434928,33.4308109
282,-111.938317,33.4164652
283,-111.930544,33.4115482
284,-111.9327814,33.4140702
285,-111.926292,33.4111847
286,-111.9262262,33.4238148
287,-111.9349449,33.414049
288,-111.9257665,33.4253629
289,-111.9453807,33.4313267
290,-111.9377928,33.4284322
291,-111.9358547,33.4282405
292,-111.9278896,33.4300293
293,-111.9276328,33.4301131
294,-111.9246135,33.4301604
295,-111.9251613,33.4301026
296,-111.9261282,33.4292857
297,-111.926109,33.4289792
298,-111.9423442,33.4314812
299,-111.9422497,33.431997
300,-111.9394951,33.4264756
301,-111.9394161,33.4254973
302,-111.9228983,33.4238125
303,-111.9221041,33.4115127
304,-111.9232571,33.4112193
305,-111.9174702,33.414732
306,-111.9155964,33.4126931
307,-111.9157422,33.4118556
308,-111.9235422,33.4101507
309,-111.9442946,33.4091443
310,-111.9442959,33.4098926
311,-111.9442992,33.4106384
312,-111.9451656,33.4121077
313,-111.9451678,33.4128225
314,-111.9458013,33.4142662
315,-111.9465222,33.4146426
316,-111.9465175,33.4160731
317,-111.9450135,33.4146366
318,-111.9450049,33.4160696
319,-111.946525,33.4194053
320,-111.9465211,33.4182437
321,-111.9465294,33.420643
322,-111.9457706,33.4210818
323,-111.9442507,33.4213791
324,-111.9383654,33.4170737
325,-111.9338002,33.4141764
326,-111.9418048,33.4212241
327,-111.9418,33.4204769
328,-111.9417794,33.4190532
329,-111.9406324,33.4211997
330,-111.9406246,33.4204862
331,-111.940607,33.4190602
332,-111.9406098,33.4176261
333,-111.9405834,33.4162013
334,-111.9405641,33.4147222
335,-111.9398955,33.4139983
336,-111.9370743,33.4140281
337,-111.9346612,33.4159033
338,-111.934949,33.4159047
339,-111.9349501,33.4150744
340,-111.934665,33.415098
341,-111.9423905,33.4212237
342,-111.9412404,33.4212296
343,-111.9418437,33.4190521
344,-111.9418304,33.4176181
345,-111.941821,33.4161933
346,-111.9418209,33.4147362
347,-111.9384029,33.4172639
348,-111.9384517,33.4172625
349,-111.9388329,33.4172623
350,-111.9393604,33.4168139
351,-111.939267,33.4165945
352,-111.939099,33.4164539
353,-111.9381395,33.4176358
354,-111.9368839,33.4158042
355,-111.936883,33.4154705
356,-111.9368795,33.4151034
357,-111.9373048,33.4151499
358,-111.9370301,33.4159967
359,-111.9372609,33.4159756
360,-111.9372788,33.4159476
361,-111.9366113,33.4150834
362,-111.9371446,33.4158762
363,-111.9372316,33.4158976
364,-111.9384635,33.4169769
365,-111.9384528,33.4169132
366,-111.9435781,33.4288746
367,-111.9434482,33.4308099
368,-111.9087152,33.4147324
369,-111.9176992,33.41473
370,-111.9180758,33.4147343
371,-111.9197969,33.4147429
372,-111.9091137,33.4147648
373,-111.9164113,33.4147735
374,-111.9175406,33.4147736
375,-111.9093176,33.4147688
376,-111.9123389,33.4147855
377,-111.9124756,33.4147882
378,-111.9193307,33.4147934
379,-111.9186316,33.4147949
380,-111.9113853,33.4148731
381,-111.9203059,33.4148826
382,-111.9203915,33.4149452
383,-111.9223974,33.4167503
384,-111.9262989,33.4202366
385,-111.926345,33.4202802
386,-111.9266039,33.4203962
387,-111.9265174,33.4204989
388,-111.9273474,33.4210534
389,-111.9272609,33.4211561
390,-111.9282882,33.422014
391,-111.9304005,33.4232277
